Date / Time,City,State,Shape,Duration,Summary,Posted
1/1/04 0:00,Kenai,AK,Light,15 minutes,"At first they looked like bright stars, but stars don't move, right?",3/4/2008
1/1/08 0:08,Nunapitchuk,AK,Fireball,2-3 Minutes,Red fireball looking object passing a village in Alaska.,1/21/2008
1/1/09 1:15,Bethel,AK,Other,15 minutes,Possible Bethel UFO sighting,1/10/2009
1/1/10 0:01,Willow,AK,Formation,7 min,four orange red objects suddenly appear 12:01 am new years move north then south and dissapear,2/14/2010
1/1/10 0:20,Anchorage,AK,Light,one minute,"Upper atmosphere object moving south, becoming stationary and later moving east at a high rate of speed.",5/15/2013
1/1/10 12:01,Willow,AK,Sphere,10-11 min,4 redishorange shpereiodical objects appear during 2010 fireworks show hover around then disappear 500 Lights On Object0: Yes,2/14/2010
1/1/12 0:01,Anchorage,AK,Light,about 1.5 minutes,"New Years morning 2012. 5 lights by southern mountains outside Anchorage, AK",1/12/2012
1/1/12 19:30,Anchorage,AK,Sphere,5 min,Five glowing lights traveling at slow speeds without engine noise.,1/12/2012
1/1/13 1:00,Delta Junction,AK,Triangle,2 minutes,"2 UFO's bright orange lights in Delta Junction, Alaska",2/4/2013
1/1/16 0:00,Anchorage,AK,Circle,5 minutes,New Years yellow objects.,1/5/2016
1/1/17 0:10,Anchorage,AK,Formation,3 minutes,Red round lights in 5 or 6 groups of 3 lights each hovered over Hillside(?) area during midnight fireworks. ((anonymous report)),1/6/2017
1/11/04 19:10,St. George Island,AK,Light,15min,3 lit objects travel from a sattelite,1/17/2004
1/11/76 23:00,"Fairbanks, Trans Alaskan Pipeline haul road 250 mi N of",AK,,10 minutes,Large white light traversing tundra that approached myself and friend.,11/23/1999
1/12/10 21:30,Metlakatla,AK,Disk,,Saucer behind car 2 visible red lights in the middle of saucer,2/14/2010
1/13/05 20:00,Fairbanks,AK,Other,45 Minutes,"Girded Structured UFO with many lights spends 45 minutes hovering over Fairbanks, Alaska on January 13, 2005",7/16/2006
1/13/05 21:00,Fairbanks,AK,Other,45 Minutes,My UFO Sighting: CE II,10/8/2007
1/13/05 21:00,Fairbanks,AK,Other,45 minutes,((HOAX??)) Trapezoidal object seen in Fairbanks in 2005.,4/3/2015
1/14/14 23:00,Talkitna,AK,,3 seconds,"This is one you can see for yourself. TV show on IDHD Channel. ""Ice Cold Killers"" Season 2 episode2 &quot;fear Thy Neighbor&q",1/16/2014
1/14/15 18:00,Bethel,AK,Other,10 minutes,"Black smoke contrails over Bethel, Alaska.",1/16/2015
1/15/98 13:00,Alaska (remote),AK,Disk,20 seconds,saucer shaped object passed directly above me,3/16/2000
1/17/95 22:45,Anchorage,AK,Light,15 min.,Empl. of KRUA radio station at Univ. of AK calls to report multiple UFO reports 2245 hrs. 17JA95 over inlet.,11/2/1999
1/18/00 7:45,Juneau,AK,,10 minutes,event reported to be a meteorite streaked through the skies at aprox o745 hrs Tues 18 Jan. It was reported to have impacted in the mts,2/16/2000
1/18/16 20:45,Anchorage,AK,Light,2 seconds,Two separate bright lights within a few seconds of each other.,1/20/2016
1/19/13 21:00,Fairbanks,AK,Fireball,2 minutes,4 Balls of Fire Dance in The Northern Sky,6/2/2013
1/2/02 21:32,Wainwright,AK,Light,90 seconds,"Bright light in the Alaska night sky, moving south-north at extreme speed",3/21/2003
1/2/09 21:00,Venetie,AK,Circle,5 min.,"southeast of venetie,alaska 99781 object setting about 500 feet above the ground with red and green light for about 5 minutes in one pl",1/10/2009
1/2/14 11:45,Anchorage,AK,Oval,20 seconds,Fast flying oval seen in the daylight past Chugach Mountains.,1/7/2015
1/20/02 20:00,Anchorage,AK,Unknown,1 minute,A reddish star like object moved very fast across the sky before dissappearing half-way across.,12/23/2002
1/20/09 19:15,Wasilla,AK,Triangle,15 minutes,"3 lights low on north horizon outside of Wasilla, AK 01/20/09 @ 7:15pm local time.",3/19/2009
1/22/12 20:15,Anchorage,AK,Unknown,10 min,5 orange/red balls equally apart moving south in Ancorage AK at 815ish pm on 1/22/2012,1/24/2012
1/23/12 19:30,Anchorage,AK,Sphere,2 minutes,Red lights in line formation coming over the mountains in Anchorage Alaska.,1/24/2012
1/24/03 8:30,Anchorage,AK,Circle,78 seconds,My brother and I were going to school on mid-hillside walking toward the west when we saw lights in the sky to the south. The object pa,3/21/2003
1/24/09 18:00,Fairbanks,AK,Oval,a little more than a week,"Bright light high above my town, very peculiar looking when viewed through a telescope. ((NUFORC Note: Venus?? PD))",3/19/2009
1/24/2001,North Pole,AK,Disk,10 seconds,ufo by an air force base,12/23/2002
1/25/05 21:50,Anchorage,AK,Light,13 minutes,Bright Orange light moving slowly across the sky,1/27/2005
1/27/07 23:07,Anchorage,AK,Disk,"10,000","It was very bright and had lights that were very red, the disk was silver, and it stayed in the air for about 5 minutes.",2/1/2007
1/29/16 19:05,Fairbanks,AK,,5 minutes +,"19:05 Fairbanks, Ak. Seen at least 10 bright objects that appeared at first to be falling until I realized they we're coming from the N",2/4/2016
1/3/11 22:30,Savoonga,AK,Light,15 seconds,Didn't see the object it was very cloudy but it had a beam of light sort of like spot light aimed to the ground & traveled about 60yds,5/13/2012
1/30/04 20:00,Ketchikan,AK,Light,4 seconds,Explosive light over Alaska skies,1/31/2004
1/30/87 21:00,Kenai,AK,Light,5 seconds,Light quickly grows in intensity and then fades to nothing.,4/27/2007
1/31/14 22:00,Anchorage,AK,Cylinder,15 minutes,"Bright orange lights, moving slowly up from the ground, hovering and moving away to the SW.",2/7/2014
1/31/15 8:05,Palmer,AK,Sphere,20 minutes,Lighted object over the Talkeetna Mountain Range near Hatcher Pass.,2/6/2015
1/31/16 20:30,Big Lake,AK,Circle,10 seconds,Orange circle with a rotating sphere on the top making no sound very fast,2/4/2016
1/5/11 20:00,North Pole,AK,Triangle,20 minutes,It was dark and we noticed six circular lights in a triangular formation pretty high up in the sky moving pretty slow from the south we,1/24/2012
1/6/15 7:50,Homer,AK,Other,3 minutes,"Floating pretzel-shaped object over town, scanning laser.",1/7/2015
1/7/13 1:50,Anchorage,AK,,still on,There are a 5-7 lights higher than a passenger plane but they are blinking; thought they may have been satellites.,2/4/2013
1/7/90 9:00,Sutton,AK,Changing,7 min.,"Well it hoovered about 200 feet above us for about 7 minutes then flew off in to space at about 150 degrees, going at about 300mph.",11/30/1999
1/8/11 17:20,Juneau,AK,Light,about 10 min,Bright silent object seen traveling in night sky,1/31/2011
